,cluster,date,CO,NO,NO2,NOX,O3,PM10,SO2,PM2.5,PMCO,RH,TMP,WDR,WSP,PM10_var,longitud,latitud
0,0,2018-01-01,0.4478260869565217,5.978260869565217,22.391304347826086,28.380434782608695,26.713043478260868,67.85507246376812,19.165217391304346,52.173913043478265,20.3768115942029,52.471014492753625,13.299999999999999,219.80434782608697,2.285507246376812,541.7839262187089,-99.07388,19.360794
1,0,2018-01-02,0.5614583333333334,19.25,29.416666666666664,48.635416666666664,22.166666666666668,44.44444444444445,4.0,25.275,20.791666666666668,56.138888888888886,13.013888888888888,146.38194444444443,1.4965277777777777,471.6231884057972,-99.07388,19.360794
2,0,2018-01-03,0.7677083333333333,33.180059523809526,42.27232142857143,75.48511904761905,24.758333333333333,68.65873015873017,6.671428571428573,37.06428571428571,32.67857142857142,50.297619047619044,14.631547619047618,174.9920634920635,1.615376984126984,166.78488612836438,-99.07388,19.360794
3,0,2018-01-04,0.6014975845410628,23.197916666666664,41.49652777777778,64.69791666666667,23.941666666666666,74.04166666666667,34.46944444444445,45.85952380952381,27.85185185185185,57.741732804232804,13.011441798941798,102.18617724867725,1.5359457671957673,185.64432367149763,-99.07388,19.360794
4,0,2018-01-05,0.6609848484848485,12.455492424242426,40.35132575757576,52.76704545454545,36.08257575757576,75.95959595959596,5.171969696969697,43.17272727272727,33.946969696969695,48.04734848484848,16.27253787878788,132.4570707070707,1.624116161616162,201.17400087834878,-99.07388,19.360794
5,0,2018-01-06,0.5357712215320911,21.522903726708076,36.42650103519669,58.00181159420289,27.364958592132506,58.562198067632856,5.042857142857143,33.42065217391304,26.373188405797105,46.42248964803313,14.752518978605934,197.442417184265,1.9067330917874397,333.93022617479136,-99.07388,19.360794
6,0,2018-01-07,0.6083333333333333,19.385416666666668,35.98958333333333,55.333333333333336,30.45,50.125,6.0166666666666675,27.69166666666667,22.347222222222225,40.875,14.03888888888889,139.6527777777778,1.39375,297.86775362318843,-99.07388,19.360794
7,0,2018-01-08,0.9199999999999999,39.36458333333333,43.84375,83.19791666666666,20.975,65.33333333333333,3.5916666666666663,34.28804347826087,34.09722222222222,43.1237922705314,14.4118961352657,146.193538647343,1.9279589371980677,811.6340579710144,-99.07388,19.360794
8,0,2018-01-09,0.8640579710144927,37.5330615942029,48.297554347826086,85.88315217391305,16.911956521739132,60.32608695652174,7.638043478260869,34.744202898550725,28.71316425120773,41.300724637681164,13.329166666666666,183.5253623188406,1.3721618357487921,278.42863416776464,-99.07388,19.360794
9,0,2018-01-10,1.0782479296066254,42.13219461697722,51.45056935817805,93.5768115942029,31.85553830227743,81.65277777777777,8.393806073153899,46.6,40.111111111111114,33.27876984126984,14.475892857142858,129.2232142857143,1.3596230158730158,440.8254830917875,-99.07388,19.360794
10,0,2018-01-11,0.9152777777777777,32.125,49.09166666666667,81.275,33.58333333333333,78.30555555555556,4.847222222222222,49.38333333333333,33.611111111111114,41.111111111111114,15.653472222222222,144.81944444444446,1.5673611111111112,565.4722222222223,-99.07388,19.360794
11,0,2018-01-12,0.7244047619047619,28.015476190476193,43.51904761904761,71.58333333333334,27.815476190476193,54.916666666666664,4.467261904761904,31.26666666666667,25.527777777777775,42.19742063492063,13.90892857142857,207.54960317460316,1.852281746031746,379.0712560386474,-99.07388,19.360794
12,0,2018-01-13,0.6527777777777778,40.958333333333336,38.79166666666667,79.775,20.05,67.31944444444444,11.451388888888888,32.53333333333333,37.86111111111111,36.25,12.636805555555554,204.92361111111111,2.204861111111111,333.55495169082127,-99.07388,19.360794
13,0,2018-01-14,0.32916666666666666,11.25,29.6,40.80833333333333,21.48333333333333,43.416666666666664,17.29861111111111,26.2,15.986111111111112,49.076388888888886,9.022916666666667,201.6527777777778,2.0527777777777776,164.96014492753622,-99.07388,19.360794
14,0,2018-01-15,0.5993055555555555,27.508333333333333,40.016666666666666,67.5,20.691666666666666,55.43055555555555,21.881944444444443,31.666666666666668,24.583333333333332,44.24305555555555,10.753472222222221,105.38888888888887,1.5527777777777778,366.2892512077295,-99.07388,19.360794
15,0,2018-01-16,0.7611111111111111,35.7,42.86666666666667,78.65,22.541666666666664,76.83333333333333,13.243055555555557,38.733333333333334,39.041666666666664,39.61805555555556,11.776388888888889,145.6597222222222,1.9833333333333332,468.7210144927537,-99.07388,19.360794
16,0,2018-01-17,0.5300422705314011,24.663043478260867,35.79420289855072,60.50797101449275,25.532246376811592,54.569444444444436,2.5667270531400965,26.516666666666662,27.708333333333332,51.626207729468604,11.275452898550725,164.8191425120773,1.8608695652173914,690.2542270531402,-99.07388,19.360794
17,0,2018-01-18,0.4980068542568543,16.826190476190476,37.368506493506494,54.19664502164502,28.4987012987013,62.75631313131313,10.391774891774892,34.214393939393936,27.46717171717172,52.91874098124098,11.538113275613275,140.93028499278498,1.8454545454545455,432.79536827906395,-99.07388,19.360794
18,0,2018-01-19,0.6828914141414142,23.30227272727273,41.709848484848486,64.9810606060606,30.98181818181818,62.06060606060606,2.5321969696969697,38.407575757575756,25.75252525252525,42.78472222222222,12.801767676767676,145.01262626262624,1.61010101010101,261.272444946358,-99.07388,19.360794
19,0,2018-01-20,0.7041666666666666,37.55,37.34166666666666,74.94166666666666,24.275,46.86111111111111,2.388888888888889,30.81666666666667,20.666666666666668,43.06944444444445,13.997916666666667,138.77777777777777,1.5444444444444445,379.50966183574883,-99.07388,19.360794
